Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden\hardeja01,SG,30,HOU,64,64,2352,629,1437,.438,280,798,.351,349,639,.546,.535,654,760,.861,68,342,410,474,115,56,281,221,2192
2,Buddy Hield\hieldbu01,SG,27,SAC,67,44,2115,471,1108,.425,252,647,.389,219,461,.475,.539,113,134,.843,57,259,316,206,63,17,160,157,1307
3,Duncan Robinson\robindu01,SF,25,MIA,68,63,2034,298,639,.466,252,565,.446,46,74,.622,.664,56,61,.918,10,209,219,94,35,17,62,184,904
4,Damian Lillard\lillada01,PG,29,POR,61,61,2269,555,1223,.454,236,603,.391,319,620,.515,.550,411,463,.888,30,236,266,486,61,22,179,106,1757
5,Devonte' Graham\grahade01,PG,24,CHO,63,53,2211,368,963,.382,218,585,.373,150,378,.397,.495,191,233,.820,42,170,212,471,62,15,181,115,1145
6,Trae Young\youngtr01,PG,21,ATL,60,60,2120,546,1249,.437,205,568,.361,341,681,.501,.519,481,559,.860,32,223,255,560,65,8,289,104,1778
7,Dāvis Bertāns\bertada01,PF,27,WAS,54,4,1583,265,610,.434,200,472,.424,65,138,.471,.598,104,122,.852,35,210,245,92,37,33,59,139,834
8,Tim Hardaway Jr.\hardati02,SG,27,DAL,66,53,1927,359,830,.433,193,480,.402,166,350,.474,.549,135,166,.813,24,194,218,130,41,5,66,115,1046
9,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,63,2083,418,935,.447,189,457,.414,229,478,.479,.548,250,277,.903,39,220,259,131,34,7,159,110,1275
10,Zach LaVine\lavinza01,SG,24,CHI,60,60,2085,539,1199,.450,184,484,.380,355,715,.497,.526,268,334,.802,41,248,289,254,88,28,206,131,1530
11,CJ McCollum\mccolcj01,SG,28,POR,65,65,2356,578,1268,.456,182,477,.382,396,791,.501,.528,127,170,.747,43,229,272,283,50,40,122,169,1465
12,Jayson Tatum\tatumja01,PF,21,BOS,62,62,2148,518,1164,.445,174,437,.398,344,727,.473,.520,242,299,.809,62,374,436,186,88,56,140,130,1452
13,Kemba Walker\walkeke02,PG,29,BOS,53,53,1659,364,856,.425,174,453,.384,190,403,.471,.527,203,235,.864,33,174,207,255,47,27,111,81,1105
14,Terry Rozier\roziete01,PG,25,CHO,63,63,2164,398,941,.423,172,423,.407,226,518,.436,.514,166,190,.874,50,226,276,259,61,10,141,126,1134
15,Danilo Gallinari\gallida01,PF,31,OKC,57,57,1739,340,773,.440,171,418,.409,169,355,.476,.550,241,273,.883,33,276,309,115,40,4,72,69,1092
16,Terrence Ross\rosste01,SG,28,ORL,66,0,1794,329,805,.409,171,477,.358,158,328,.482,.515,154,181,.851,13,198,211,76,72,22,67,100,983
17,Bradley Beal\bealbr01,SG,26,WAS,57,57,2053,593,1303,.455,170,481,.353,423,822,.515,.520,385,457,.842,52,190,242,347,71,23,194,126,1741
18,Evan Fournier\fournev01,SG,27,ORL,64,64,2010,422,900,.469,170,422,.403,252,478,.527,.563,170,208,.817,18,148,166,203,71,15,122,152,1184
19,J.J. Redick\redicjj01,SG,35,NOP,57,35,1497,265,590,.449,164,364,.451,101,226,.447,.588,159,177,.898,10,136,146,113,19,9,69,89,853
20,Ben McLemore\mclembe01,SG,26,HOU,66,19,1495,219,487,.450,163,405,.402,56,82,.683,.617,48,64,.750,20,124,144,54,42,13,47,142,649
21,Donovan Mitchell\mitchdo01,SG,23,UTA,66,66,2268,580,1286,.451,162,446,.363,418,840,.498,.514,269,312,.862,48,239,287,277,69,13,177,162,1591
22,Joe Harris\harrijo01,SF,28,BRK,65,65,2012,348,729,.477,160,382,.419,188,347,.542,.587,63,87,.724,62,221,283,133,39,17,96,142,919
23,Luka Dončić\doncilu01,PG,20,DAL,57,57,1923,546,1182,.462,159,509,.312,387,673,.575,.529,400,530,.755,75,468,543,503,60,13,247,147,1651
24,Kyle Lowry\lowryky01,PG,33,TOR,54,54,1971,319,765,.417,159,443,.359,160,322,.497,.521,276,320,.863,31,242,273,410,72,24,162,176,1073
25,D'Angelo Russell\russeda01,PG,23,TOT,45,45,1452,360,846,.426,158,431,.367,202,415,.487,.519,161,199,.809,17,160,177,285,48,13,147,86,1039
26,Robert Covington\covinro01,PF,29,TOT,65,63,1982,291,685,.425,154,453,.340,137,232,.591,.537,92,114,.807,57,366,423,78,103,85,94,205,828
27,Patty Mills\millspa02,PG,31,SAS,65,1,1462,252,588,.429,152,398,.382,100,190,.526,.558,97,112,.866,21,84,105,115,53,6,53,102,753
28,Bryn Forbes\forbebr01,SG,26,SAS,63,62,1579,242,581,.417,148,381,.388,94,200,.470,.544,75,90,.833,12,114,126,108,33,0,57,113,707
29,Paul George\georgpa01,SF,29,LAC,45,45,1318,316,725,.436,148,362,.409,168,363,.463,.538,181,206,.879,22,233,255,171,62,20,118,109,961
30,Bogdan Bogdanović\bogdabo01,SG,27,SAC,56,23,1593,290,682,.425,146,403,.362,144,279,.516,.532,80,109,.734,18,162,180,178,58,14,90,123,806
31,Kevin Love\loveke01,PF,31,CLE,56,56,1780,327,727,.450,146,390,.374,181,337,.537,.550,187,219,.854,54,493,547,178,33,19,140,90,987
32,Taurean Prince\princta02,SF,25,BRK,64,61,1857,278,739,.376,146,431,.339,132,308,.429,.475,71,89,.798,50,331,381,116,57,25,127,159,773
33,Jaren Jackson Jr.\jacksja02,C,20,MEM,57,57,1622,353,753,.469,145,368,.394,208,385,.540,.565,139,186,.747,55,207,262,78,40,92,99,232,990
34,Lonzo Ball\balllo01,PG,22,NOP,59,50,1902,265,654,.405,143,378,.378,122,276,.442,.515,40,73,.548,65,299,364,408,86,30,181,117,713
35,Brandon Ingram\ingrabr01,PF,22,NOP,59,59,2007,489,1053,.464,143,371,.385,346,682,.507,.532,298,350,.851,50,317,367,246,58,38,183,170,1419
36,Fred VanVleet\vanvlfr01,PG,25,TOR,50,50,1802,300,728,.412,141,357,.395,159,371,.429,.509,153,179,.855,18,172,190,332,93,14,117,124,894
37,Khris Middleton\middlkh01,SF,28,MIL,58,55,1736,443,896,.494,140,342,.409,303,554,.547,.573,186,204,.912,44,318,362,239,53,7,122,130,1212
38,Seth Curry\curryse01,SG,29,DAL,61,22,1505,272,547,.497,139,309,.450,133,238,.559,.624,78,95,.821,26,116,142,121,38,9,61,107,761
39,LeBron James\jamesle01,PG,35,LAL,63,63,2198,608,1226,.496,139,398,.349,469,828,.566,.553,247,354,.698,63,439,502,657,77,33,252,113,1602
40,Dillon Brooks\brookdi01,SG,24,MEM,68,68,1954,390,974,.400,137,381,.360,253,593,.427,.471,149,184,.810,64,160,224,138,58,26,113,261,1066
41,Devin Booker\bookede01,SG,23,PHO,65,65,2345,575,1184,.486,135,370,.365,440,814,.541,.543,426,466,.914,27,243,270,424,47,16,254,201,1711
42,Marcus Morris\morrima03,SF-PF,30,TOT,58,58,1808,335,771,.435,135,330,.409,200,441,.454,.522,175,213,.822,56,233,289,80,42,30,92,167,980
43,Jordan Clarkson\clarkjo01,SG,27,TOT,66,0,1604,364,800,.455,134,375,.357,230,425,.541,.539,130,155,.839,48,127,175,128,45,16,86,98,992
44,Coby White\whiteco01,SG,19,CHI,65,1,1674,312,792,.394,133,376,.354,179,416,.430,.478,102,129,.791,28,202,230,175,49,6,109,117,859
45,Langston Galloway\gallola01,SG,28,DET,66,6,1702,236,542,.435,132,331,.399,104,211,.493,.557,73,85,.859,33,116,149,101,48,11,40,96,677
46,Kendrick Nunn\nunnke01,SG,24,MIA,65,65,1900,388,870,.446,132,372,.355,256,498,.514,.522,79,94,.840,20,153,173,214,53,13,107,150,987
47,Kristaps Porziņģis\porzikr01,PF,24,DAL,54,54,1700,368,872,.422,131,381,.344,237,491,.483,.497,205,261,.785,97,417,514,94,41,111,89,171,1072
48,Marcus Smart\smartma01,SG,25,BOS,56,39,1802,247,652,.379,131,378,.347,116,274,.423,.479,118,143,.825,42,172,214,262,92,29,96,153,743
49,Furkan Korkmaz\korkmfu01,SG,22,PHI,66,12,1433,225,525,.429,129,327,.394,96,198,.485,.551,59,79,.747,16,136,152,72,37,15,52,90,638
50,Nemanja Bjelica\bjeline01,PF,31,SAC,67,63,1907,298,624,.478,128,303,.422,170,321,.530,.580,61,74,.824,107,326,433,182,57,35,94,205,785
51,Danuel House\houseda01,SF,26,HOU,61,50,1848,224,519,.432,127,341,.372,97,178,.545,.554,71,88,.807,57,202,259,82,67,33,52,127,646
52,Kevin Huerter\huertke01,SG,21,ATL,56,48,1760,252,610,.413,127,334,.380,125,276,.453,.517,53,64,.828,35,193,228,213,51,27,87,139,684
53,Joe Ingles\inglejo01,SF,32,UTA,67,40,2015,227,512,.443,126,321,.393,101,191,.529,.566,69,89,.775,25,238,263,342,62,10,136,144,649
54,Justin Holiday\holidju01,SG,30,IND,68,4,1713,195,451,.432,124,300,.413,71,151,.470,.570,47,61,.770,30,190,220,89,79,44,42,125,561
55,Spencer Dinwiddie\dinwisp01,SG,26,BRK,64,49,1994,424,1021,.415,123,400,.308,301,621,.485,.476,347,446,.778,32,189,221,432,40,21,174,180,1318
56,Tobias Harris\harrito02,PF,27,PHI,67,67,2311,516,1092,.473,123,336,.366,393,756,.520,.529,159,196,.811,59,395,454,209,51,37,100,155,1314
57,Cedi Osman\osmande01,SF,24,CLE,65,65,1910,266,609,.437,123,321,.383,143,288,.497,.538,63,94,.670,39,192,231,154,54,16,91,160,718
58,Jae Crowder\crowdja01,SF,29,TOT,61,49,1786,209,536,.390,122,373,.327,87,163,.534,.504,95,121,.785,50,320,370,155,69,21,64,132,635
59,Goran Dragić\dragigo01,PG,33,MIA,57,1,1611,307,696,.441,122,328,.372,185,368,.503,.529,190,243,.782,27,149,176,286,37,10,141,116,926
